danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
0.52,0.848,,-5.508,0,0.363,0.0232,0.0532,0.218,118.528,150533,3,5,
0.769,0.716,7,-6.782,1,0.0364,0.169,0.349,0.943,128.724,255107,4,2,
0.68,0.659,6,-7.186,1,0.151,0.229,0.474,0.75,98.877,114460,4,9,
0.334,0.933,4,-4.49,1,0.09,0.00732,0.264,0.18,132.812,281804,4,10,
0.39,0.799,,-9.313,0,0.047,0.00792,0.135,0.16,127.221,356825,4,10,
0.431,0.782,1,-4.831,1,0.0374,0.00495,0.131,0.384,160.872,178948,4,6,
0.398,0.707,6,-7.747,1,0.0409,0.0813,0.165,0.074,74.915,228587,4,6,
0.687,0.297,8,-10.029,1,0.0256,0.527,0.137,0.6,77.096,3.033533333,3,0,
0.702,0.772,9,-9.677,1,0.0277,0.0312,0.0809,0.973,141.694,154120,4,10,
0.0862,0.222,9,-20.901,1,0.0441,0.893,0.11,0.109,202.983,281453,4,10,
0.704,0.663,9,-7.637,0,0.0504,0.0395,0.0871,0.318,123.994,201280,4,1,
0.623,0.888,5,-5.018,0,0.133,0.343,0.34,0.687,107.962,285347,4,10,
0.693,0.454,2,-12.44,1,0.0332,0.796,0.143,0.54,122.641,4.793783333,4,4,
0.544,0.739,9,-7.383,1,0.0517,0.00392,0.168,0.328,118.287,342600,4,8,
0.595,0.424,11,-8.736,0,0.0458,0.77,0.124,0.0911,113.305,158118,5,1,
0.472,0.953,2,-6.674,0,0.0906,0.000594,0.279,0.224,80.007,264750,4,8,
0.32,0.887,6,-5.11,1,0.0509,0.0000664,0.348,0.431,175.088,255857,4,10,
0.382,0.909,6,-7.644,1,0.0985,0.000109,0.172,0.446,88.642,141227,4,10,
0.602,0.506,2,-9.046,1,0.0273,0.687,0.177,0.312,126.962,4.35235,4,0,
0.499,0.873,6,-3.902,1,0.0386,0.00468,0.165,0.864,142.726,134200,4,1,
0.372,0.948,5,-5.193,1,0.0638,0.00982,0.156,0.857,160.013,288576,4,10,
0.565,0.542,9,-10.506,1,0.0315,0.53,0.0694,0.794,103.966,525427,4,10,
0.448,0.661,6,-7.293,1,0.0311,0.000415,0.0499,0.213,139.983,381201,4,8,
0.475,0.824,4,-3.857,0,0.0446,0.0000343,0.0932,0.658,138.073,152973,4,10,
0.817,0.79,1,-4.19,0,0.0387,0.221,0.293,0.821,106.993,210147,4,9,
0.402,0.86,8,-7.689,1,0.039,0.00000143,0.103,0.427,108.118,281120,4,8,
0.596,0.545,11,-8.913,0,0.064,0.456,0.329,0.718,146.953,179733,4,2,
0.95,0.449,10,-6.962,1,0.302,0.184,0.148,0.516,124.004,172006,4,5,
0.446,0.263,5,-12.264,0,0.0273,0.717,0.15,0.173,97.877,322000,3,9,
0.576,0.494,10,-12.242,0,0.0605,0.106,0.13,0.587,96.478,199667,4,6,
0.684,0.864,1,-5.081,0,0.227,0.0668,0.358,0.657,100.624,226067,4,5,
0.428,0.599,4,-2.135,1,0.0286,0.0665,0.137,0.134,125.83,301730,4,8,
0.657,0.415,9,-6.46,0,0.0812,0.299,0.102,0.559,78.012,173548,4,1,
0.355,0.406,8,-8.842,1,0.029,0.78,0.113,0.145,145.197,4.477683333,4,0,
0.672,0.534,4,-7.535,1,0.0297,0.699,0.107,0.746,149.772,137414,4,2,
0.486,0.875,,-3.446,1,0.0497,0.092,0.758,0.509,117.797,5.05445,4,9,
0.349,0.816,6,-10.043,1,0.0402,0.000162,0.118,0.512,106.247,235507,4,8,
0.325,0.554,,-8.379,1,0.0344,0.805,0.102,0.106,111.105,255861,4,6,
0.391,0.851,7,-13.84,1,0.0676,0.00403,0.212,0.0645,139.843,145133,4,8,
0.899,0.557,7,-7.966,1,0.245,0.0786,0.0777,0.464,99.975,159986,4,9,
0.454,0.084,,-18.621,1,0.0293,0.885,0.0958,0.0828,87.816,4.251783333,4,7,
0.796,0.777,6,-4.81,1,0.0397,0.0261,0.121,0.787,132.722,258893,4,9,
0.242,0.972,9,-5.191,0,0.122,0.0000361,0.256,0.085,99.94,178901,4,8,
0.582,0.548,,-5.017,1,0.0338,0.778,0.186,0.705,97.887,208067,1,2,
0.5,0.087,7,-17.131,1,0.05,0.984,0.111,0.329,128.614,2.605466667,3,7,
0.563,0.485,7,-12.875,1,0.415,0.938,0.603,0.699,125.952,6.61155,4,3,
0.59,0.509,11,-7.547,0,0.0256,0.26,0.0932,0.383,79.981,226199,4,10,
0.584,0.793,9,-6.004,0,0.0532,0.134,0.0532,0.512,92.028,217973,4,10,
0.636,0.72,11,-6.195,1,0.0432,0.0893,0.0868,0.425,124.944,235813,4,6,
0.753,0.869,10,-4.09,0,0.0338,0.00164,0.155,0.703,109.563,182093,4,9,
0.688,0.737,6,-9.31,0,0.0678,0.0769,0.114,0.666,131.042,194760,4,1,
0.38,0.0993,2,-20.567,1,0.0509,0.914,0.0605,0.44,174.874,165427,4,10,
0.465,0.942,5,-7.219,1,0.0755,0.0000517,0.155,0.335,124.096,186017,4,10,
0.334,0.829,,-6.436,1,0.036,0.0000576,0.0883,0.437,130.154,299853,4,8,
0.42,0.968,4,-4.482,0,0.229,0.00162,0.147,0.227,199.772,237514,4,8,
0.584,0.804,7,-6.094,1,0.0619,0.000968,0.284,0.635,159.953,161037,4,1,
0.563,0.854,4,-4.93,1,0.0332,0.000296,0.287,0.929,127.029,177680,4,10,
0.716,0.782,5,-6.283,0,0.0515,0.149,0.366,0.911,77.022,183506,4,10,
0.287,0.816,8,-6.125,1,0.0572,0.473,0.452,0.56,137.458,5.203116667,4,7,
0.928,0.631,1,-6.191,1,0.363,0.00943,0.085,0.439,94.035,142987,4,5,
0.693,0.843,,-5.424,1,0.0307,0.0242,0.0743,0.533,115.924,239973,4,10,
0.262,0.779,7,-8.298,0,0.0692,0.0000136,0.305,0.164,170.032,320892,3,8,
0.599,0.295,9,-11.052,1,0.0269,0.849,0.32,0.282,99.767,161027,3,2,
0.367,0.811,9,-5.862,0,0.0912,0.0000129,0.287,0.259,117.065,163239,5,10,
0.688,0.728,1,-6.983,1,0.285,0.108,0.108,0.457,144.951,253858,4,5,
0.475,0.541,5,-11.89,0,0.0749,0.466,0.319,0.596,131.121,423160,4,2,
0.489,0.724,5,-8.367,1,0.0352,0.313,0.287,0.15,117.292,300400,4,10,
0.727,0.974,4,-2.261,0,0.0664,0.103,0.174,0.965,79.526,235213,4,9,
0.671,0.501,4,-13.119,1,0.0594,0.342,0.194,0.86,87.04,3.581333333,4,4,
0.596,0.575,11,-8.325,0,0.0514,0.0861,0.334,0.34,98.265,127921,3,6,
0.495,0.602,9,-6.445,1,0.13,0.08,0.347,0.298,69.888,201467,4,2,
0.575,0.283,5,-13.333,0,0.0457,0.961,0.104,0.659,152.929,442400,3,2,
0.3,0.627,4,-9.7,0,0.0286,0.00132,0.62,0.214,87.317,150627,4,10,
0.454,0.82,4,-7.03,0,0.0389,0.0822,0.222,0.355,90.551,325840,4,10,
0.307,0.779,2,-9.933,1,0.048,0.023,0.0791,0.0626,144.099,582360,4,10,
0.477,0.575,11,-7.948,1,0.0293,0.193,0.341,0.106,118.533,3.939916667,4,0,
0.254,0.377,1,-8.518,0,0.0299,0.677,0.135,0.177,60.449,201027,4,10,
0.672,0.878,5,-9.293,1,0.0775,0.0179,0.35,0.914,122.015,301475,4,10,
0.481,0.728,11,-6.335,0,0.195,0.0454,0.237,0.389,86.004,249351,4,5,
0.75,0.343,9,-11.318,1,0.0268,0.612,0.0893,0.198,104,4.111116667,4,0,
0.934,0.759,6,-5.873,0,0.185,0.0102,0.0818,0.927,123.857,227107,4,5,
0.72,0.706,1,-4.719,1,0.0473,0.0684,0.166,0.62,133.002,187436,4,9,
0.823,0.586,6,-6.606,0,0.2,0.114,0.193,0.347,125.971,190476,4,9,
0.692,0.249,10,-11.397,0,0.048,0.904,0.233,0.309,103.182,3.39755,4,0,
0.582,0.734,,-7.18,1,0.0264,0.0674,0.0529,0.461,90.371,296027,4,10,
0.359,0.637,4,-8.136,1,0.0415,0.385,0.121,0.141,139.07,4.187483333,4,0,
0.396,0.905,5,-4.612,0,0.0604,0.0000292,0.318,0.254,140.052,207453,4,1,
0.594,0.851,7,-3.47,1,0.0514,0.00881,0.0749,0.898,83.522,180356,4,10,
0.512,0.849,4,-4.444,1,0.0723,0.00701,0.0975,0.329,137.969,224711,4,8,
0.515,0.949,1,-3.521,0,0.0806,0.000103,0.348,0.308,124.069,168145,4,10,
0.604,0.511,4,-7.476,0,0.13,0.071,0.129,0.139,100.338,192000,4,5,
0.646,0.744,11,-5.465,0,0.0352,0.0327,0.0861,0.795,97.002,248661,4,10,
0.301,0.923,8,-11.316,1,0.109,0.000225,0.183,0.297,144.721,312187,4,8,
0.667,0.17,5,-12.041,1,0.0522,0.926,0.113,0.389,133.94,2.622216667,4,7,
0.87,0.41,8,-8.804,1,0.182,0.243,0.127,0.576,83.974,171202,4,6,
0.496,0.896,1,-5.368,1,0.0904,0.00024,0.161,0.343,179.936,215880,4,8,
0.0876,0.839,4,-9.63,1,0.0565,0.0000336,0.258,0.622,169.136,112266,4,10,
0.867,0.648,3,-6.942,0,0.253,0.265,0.217,0.527,108.005,198032,4,9,
0.566,0.873,,-5.926,0,0.178,0.000371,0.079,0.527,121.946,263800,4,1,
0.746,0.724,11,-5.784,1,0.126,0.904,0.165,0.702,103.804,4.378216667,4,3,
0.578,0.752,9,-5.264,1,0.033,0.0275,0.125,0.405,149.689,3.055116667,4,4,
0.365,0.513,7,-13.034,0,0.0357,0.0208,0.205,0.739,80.647,331200,4,10,
0.536,0.496,7,-6.027,1,0.029,0.314,0.11,0.497,175.007,3.56955,3,4,
0.697,0.383,8,-11.464,1,0.481,0.0937,0.113,0.51,86.84,179627,4,5,
0.817,0.694,4,-9.315,0,0.142,0.00161,0.333,0.328,98.16,433267,4,5,
0.413,0.44,4,-9.951,1,0.0299,0.0663,0.126,0.271,140.482,226825,4,6,
0.421,0.823,9,-3.327,0,0.0446,0.00078,0.204,0.155,104.973,223720,4,10,
0.583,0.692,2,-13.562,0,0.043,0.0026,0.125,0.795,137.572,3.91178333,4,10,
0.456,0.367,6,-9.168,1,0.0405,0.792,0.318,0.467,77.066,231815,4,10,
0.613,0.787,4,-3.331,1,0.0382,0.0361,0.108,0.362,135.989,3.657333333,4,9,
0.412,0.944,,-2.896,1,0.0448,0.0724,0.801,0.79,123.091,215000,4,6,
0.55,0.668,2,-8.89,1,0.0717,0.000604,0.0726,0.489,93.132,264360,4,6,
0.798,0.656,10,-8.33,0,0.278,0.0413,0.274,0.697,137.039,269625,4,5,
0.677,0.66,2,-6.682,1,0.129,0.00779,0.0941,0.611,153.982,177187,4,9,
0.342,0.888,7,-4.404,1,0.0617,0.00116,0.214,0.287,159.118,142147,4,1,
0.41,0.718,7,-7.501,1,0.0488,0.00569,0.167,0.412,111.504,237853,4,10,
0.7,0.378,9,-10.398,1,0.0431,0.77,0.137,0.358,131.864,180625,4,9,
0.553,0.729,,-10.778,1,0.0434,0.789,0.0586,0.749,125.251,6.048133333,4,3,
0.282,0.996,9,-3.991,1,0.274,0.00668,0.0674,0.323,185.423,109307,4,8,
0.452,0.489,2,-12.425,1,0.121,0.303,0.488,0.654,159.068,160307,4,10,
0.291,0.857,7,-7.067,1,0.123,0.0003,0.245,0.452,118.961,224888,4,10,
0.739,0.522,7,-12.304,0,0.151,0.821,0.233,0.619,138.263,146390,4,6,
0.549,0.389,8,-9.532,1,0.03,0.236,0.102,0.4,122.011,219483,4,6,
0.616,0.375,,-9.684,0,0.0308,0.671,0.329,0.438,130.116,182308,4,9,
0.599,0.675,7,-6.649,1,0.0313,0.013,0.098,0.366,119.966,228859,4,8,
0.0882,0.00626,10,-35.154,1,0.041,0.99,0.0756,0.123,83.771,3.56845,3,7,
0.32,0.545,1,-14.043,1,0.0415,0.586,0.605,0.605,87.618,373893,4,1,
0.758,0.443,3,-6.465,1,0.0583,0.347,0.335,0.728,79.485,188952,4,9,
0.394,0.247,11,-11.551,0,0.0319,0.812,0.112,0.125,117.113,187087,4,6,
0.726,0.678,5,-4.445,1,0.0303,0.252,0.149,0.529,75.031,159387,4,1,
0.179,0.912,4,-3.881,0,0.0791,0.0014,0.582,0.289,182.99,231533,3,10,
0.73,0.907,2,-4.478,1,0.0727,0.000111,0.266,0.573,116.016,163067,4,8,
0.617,0.696,4,-12.739,1,0.0282,0.0155,0.108,0.9,111.136,239760,4,10,
0.705,0.511,8,-10.084,1,0.0329,0.392,0.11,0.234,127.88,232500,4,6,
0.648,0.988,5,-2.119,0,0.0796,0.00853,0.0802,0.928,94.99,161684,4,6,
0.428,0.9,11,-4.195,1,0.0384,0.0000164,0.242,0.228,160.057,269747,4,10,
0.56,0.73,1,-5.69,1,0.0362,0.219,0.179,0.963,151.594,194667,4,2,
0.473,0.95,11,-4.115,1,0.158,0.0115,0.122,0.668,151.896,252040,4,2,
0.513,0.377,7,-8.907,1,0.102,0.899,0.0943,0.424,203.236,188813,3,2,
0.301,0.921,7,-6.236,1,0.0899,0.00573,0.349,0.199,169.625,320813,4,10,
0.358,0.541,2,-9.348,1,0.0295,0.0494,0.195,0.166,171.999,305379,1,6,
0.274,0.834,2,-5.982,0,0.0443,0.56,0.384,0.079,89.483,3.7,4,0,
0.672,0.133,7,-15.152,1,0.0558,0.989,0.143,0.141,133.844,2.097016667,4,7,
0.542,0.872,9,-2.553,1,0.0402,0.0495,0.0823,0.311,137.976,237086,4,10,
0.567,0.532,2,-9.171,1,0.0324,0.191,0.143,0.196,122.987,214634,4,1,
0.429,0.661,11,-7.227,1,0.0281,0.00239,0.234,0.285,173.372,266773,4,10,
0.734,0.547,1,-9.527,0,0.108,0.00338,0.126,0.82,119.989,156360,4,6,
0.489,0.945,,-2.936,1,0.0668,0.000242,0.357,0.388,164.982,235528,4,8,
0.599,0.0757,6,-12.798,1,0.0478,0.987,0.105,0.641,199.428,170080,3,2,
0.851,0.565,5,-9.43,0,0.102,0.0716,0.116,0.551,130.022,175938,4,9,
0.459,0.836,9,-7.637,1,0.0378,0.0000177,0.146,0.547,101.977,236373,4,6,
0.607,0.788,7,-3.722,0,0.0951,0.488,0.716,0.752,131.397,308453,4,2,
0.418,0.96,,-2.396,1,0.0778,0.0000272,0.295,0.444,97.326,184080,4,10,
0.338,0.511,2,-5.604,1,0.0301,0.00397,0.0875,0.54,156.062,225880,4,10,
0.161,0.973,4,-3.553,0,0.142,0.00657,0.0931,0.216,93.699,217520,3,1,
0.618,0.72,2,-6.405,1,0.0296,0.265,0.156,0.64,120.992,286660,4,6,
0.388,0.66,11,-7.372,1,0.0308,0.312,0.0943,0.401,143.554,3.84178333,4,0,
0.594,0.721,2,-7.811,1,0.0958,0.0212,0.0879,0.253,128.938,234653,4,9,
0.194,0.946,2,-5.04,0,0.0742,0.0000172,0.355,0.0534,98.626,447298,4,8,
0.606,0.749,2,-5.983,1,0.0289,0.00271,0.0609,0.408,90.046,242424,4,8,
0.436,0.655,7,-8.153,1,0.159,0.425,0.393,0.523,139.712,154749,4,9,
0.632,0.575,5,-7.358,1,0.0354,0.105,0.158,0.689,106.953,283867,3,2,
0.521,0.855,9,-3.348,1,0.0686,0.0223,0.0869,0.257,158.744,187133,4,10,
0.589,0.75,4,-7.086,1,0.0654,0.00162,0.262,0.43,130.097,189560,4,1,
0.193,0.948,5,-5.623,0,0.138,0.00749,0.306,0.158,81.636,295813,4,8,
0.94,0.335,5,-10.179,0,0.505,0.17,0.262,0.707,120.04,209640,4,9,
0.862,0.561,8,-5.703,1,0.335,0.596,0.108,0.541,99.864,188388,3,9,
0.311,0.884,11,-4.313,1,0.0703,0.000133,0.124,0.364,131.733,223560,4,10,
0.663,0.676,8,-9.954,1,0.0426,0.515,0.179,0.312,113.975,181000,4,6,
0.532,0.392,,-9.224,1,0.032,0.458,0.104,0.449,169.962,3.46518333,4,0,
0.647,0.98,7,-3.463,1,0.356,0.0301,0.045,0.399,188.309,232333,5,5,
0.896,0.78,1,-3.547,1,0.202,0.0828,0.0857,0.85,106.032,163019,4,9,
0.427,0.994,7,-4.243,0,0.12,0.0000147,0.153,0.254,147.969,253079,4,8,
0.587,0.573,4,-8.073,1,0.0383,0.0208,0.199,0.686,137.315,129120,4,6,
0.589,0.382,6,-9.56,0,0.0283,0.567,0.0884,0.209,77.996,247133,4,1,
0.377,0.758,9,-6.237,1,0.038,0.0459,0.0858,0.0751,80.064,404320,4,8,
0.445,0.537,4,-8.532,0,0.04,0.695,0.0944,0.131,122.769,244360,4,9,
0.474,0.971,1,-2.285,1,0.0925,0.0185,0.307,0.463,102.941,298889,4,10,
0.489,0.675,2,-7.813,1,0.0241,0.00313,0.347,0.402,100.748,169747,4,10,
0.639,0.347,9,-7.217,0,0.0314,0.701,0.0985,0.291,119.821,152000,4,9,
0.464,0.92,10,-5.673,0,0.0432,0.00143,0.343,0.266,91.04,271667,4,8,
0.333,0.695,5,-5.116,1,0.0465,0.372,0.107,0.317,203.753,229347,4,10,
0.572,0.52,7,-9.248,1,0.127,0.521,0.51,0.62,118.433,9.08445,4,3,
0.431,0.95,7,-4.918,1,0.26,0.00105,0.272,0.56,191.936,158733,4,10,
0.503,0.328,7,-12.158,1,0.0268,0.296,0.132,0.354,91.981,267267,4,10,
0.271,0.624,7,-6.733,0,0.0309,0.0301,0.0737,0.242,74.611,485018,4,10,
0.538,0.975,5,-4.518,0,0.0668,0.000416,0.296,0.588,100.046,210827,4,10,
0.453,0.973,2,-3.94,1,0.0823,0.0000285,0.367,0.519,150.029,236239,4,10,
0.469,0.741,1,-6.628,1,0.0414,0.328,0.0996,0.673,114.583,241816,5,9,
0.657,0.645,2,-6.521,0,0.0612,0.00601,0.236,0.658,91.988,3.310666667,4,9,
0.59,0.972,9,-2.861,1,0.159,0.0018,0.0476,0.578,146.061,194795,4,8,
0.398,0.864,10,-8.199,1,0.0492,0.523,0.0985,0.782,148.47,135747,4,2,
0.806,0.735,4,-4.39,1,0.0495,0.087,0.0885,0.398,128.019,207250,4,5,
0.683,0.757,5,-8.511,0,0.0589,0.0000418,0.0579,0.628,122.008,291148,4,6,
0.464,0.417,,-9.345,0,0.0256,0.136,0.0974,0.479,67.528,183956,4,10,
0.571,0.949,,-3.662,0,0.0333,0.157,0.133,0.87,120.03,234693,4,9,
0.372,0.82,6,-5.656,0,0.0565,0.01,0.124,0.624,152.154,366000,4,10,
0.481,0.981,6,-6.456,0,0.143,0.000148,0.144,0.102,97.106,344360,4,8,
0.49,0.296,6,-9.589,0,0.0485,0.819,0.691,0.498,160.824,3.75056667,4,0,
0.599,0.744,7,-8.72,1,0.0316,0.131,0.0795,0.723,91.259,351267,4,10,
0.673,0.886,1,-4.44,0,0.0431,0.185,0.0826,0.795,97.012,216773,4,9,
0.545,0.578,2,-8.745,1,0.0406,0.0114,0.0692,0.819,128.038,238907,4,1,
0.71,0.461,7,-10.233,0,0.057,0.694,0.103,0.119,123.016,191220,4,1,
0.56,0.736,8,-7.64,1,0.0339,0.0135,0.174,0.389,94.987,237481,4,6,
0.797,0.755,2,-5.393,1,0.0293,0.331,0.124,0.411,129.955,135878,4,10,
0.509,0.843,1,-3.318,0,0.0488,0.000671,0.348,0.332,140.055,238400,3,10,
0.534,0.292,2,-11.182,1,0.0373,0.643,0.702,0.472,142.948,252320,4,10,
0.372,0.0853,,-22.8,0,0.0501,0.992,0.103,0.259,76.201,188853,4,6,
0.374,0.816,2,-13.88,1,0.0578,0.119,0.0808,0.138,104.56,146560,4,10,
0.301,0.347,7,-14.495,1,0.033,0.0869,0.218,0.681,153.408,224667,4,10,
0.359,0.847,9,-5.648,1,0.0938,0.000277,0.231,0.1,135.465,262133,4,8,
0.442,0.52,,-8.648,1,0.0261,0.184,0.154,0.177,77.437,304880,4,6,
0.457,0.932,4,-4.402,0,0.0629,0.00193,0.337,0.327,110.013,221952,4,10,
0.341,0.875,9,-4.581,1,0.0406,0.0000232,0.135,0.477,78.948,180601,4,6,
0.568,0.904,6,-4.772,0,0.226,0.00167,0.11,0.487,169.935,258320,4,9,
0.448,0.942,6,-4.788,0,0.0486,0.000889,0.28,0.346,98.073,243000,4,8,
0.594,0.806,9,-6.24,1,0.0436,0.000986,0.0934,0.583,82.486,317227,4,6,
0.202,0.804,7,-5.465,1,0.0383,0.0000697,0.081,0.418,179.911,298400,4,6,
0.258,0.852,6,-4.439,1,0.0739,0.000697,0.182,0.489,112.116,236985,3,1,
0.531,0.864,7,-4.534,1,0.08,0.00164,0.884,0.665,130.722,202867,4,10,
0.224,0.956,4,-5.52,0,0.119,0.0598,0.152,0.394,154.166,306160,4,8,
0.363,0.249,1,-11.431,1,0.0346,0.926,0.107,0.24,86.741,3.714216667,4,0,
0.454,0.948,4,-3.959,1,0.0525,0.0113,0.116,0.716,108.161,132797,4,6,
0.613,0.631,4,-6.965,1,0.12,0.0663,0.169,0.33,149.992,158033,4,5,
0.651,0.625,,-6.532,1,0.0343,0.0175,0.188,0.427,116.019,236560,4,10,
0.407,0.268,11,-11.563,0,0.0342,0.806,0.101,0.137,125.444,248427,4,10,
0.706,0.656,9,-4.177,0,0.29,0.034,0.163,0.82,165.639,140564,4,6,
0.711,0.663,1,-7.871,1,0.258,0.00099,0.324,0.768,177.041,155757,4,5,
0.595,0.588,10,-11.313,1,0.0624,0.507,0.113,0.518,166.061,145634,4,5,
0.393,0.964,3,-8.838,1,0.144,0.000735,0.34,0.352,151.898,239280,4,1,
0.472,0.811,8,-5.121,1,0.0612,0.000839,0.373,0.637,164.991,118733,4,10,
0.615,0.419,2,-8.624,1,0.0416,0.636,0.0898,0.212,131.81,232529,4,9,
0.479,0.987,6,-4.297,1,0.0896,0.0000242,0.834,0.439,129.974,280865,4,8,
0.844,0.486,3,-6.915,0,0.368,0.234,0.0976,0.493,142.606,244453,4,5,
0.283,0.869,2,-6.486,1,0.0503,0.0000175,0.343,0.233,189.841,208917,4,8,
0.363,0.548,3,-7.712,1,0.0327,0.53,0.141,0.192,78.719,371880,4,10,
0.565,0.438,7,-8.722,1,0.0311,0.122,0.108,0.211,133.949,361760,4,6,
0.447,0.551,9,-9.418,1,0.038,0.452,0.116,0.362,177.875,177213,4,10,
0.502,0.65,1,-4.27,1,0.0531,0.366,0.0956,0.392,159.78,153027,4,9,
0.782,0.969,1,-2.763,1,0.104,0.204,0.075,0.763,137.958,232716,4,9,
0.635,0.686,9,-15.648,1,0.053,0.209,0.282,0.464,125.988,274747,4,10,
0.307,0.433,1,-10.057,1,0.029,0.388,0.332,0.224,160.9,4.44933333,4,10,
0.574,0.627,11,-6.182,0,0.122,0.0846,0.0351,0.864,190.415,234160,4,10,
0.661,0.618,4,-8.422,0,0.313,0.368,0.0743,0.81,148.544,201942,4,5,
0.599,0.787,2,-4.708,1,0.0338,0.0000207,0.064,0.822,114.065,185133,4,10,
0.308,0.883,6,-7.931,1,0.171,0.00185,0.214,0.255,111.604,216467,4,1,
0.685,0.898,10,-2.719,0,0.041,0.00434,0.0708,0.694,126.964,224667,4,6,
0.576,0.892,11,-8.229,0,0.0416,0.00152,0.0866,0.86,119.505,231613,4,6,
0.568,0.585,3,-10.055,1,0.0282,0.0921,0.241,0.562,102.105,3.02133333,4,0,
0.319,0.739,,-5.74,1,0.272,0.0285,0.111,0.449,194.169,230227,4,9,
0.754,0.583,4,-7.34,0,0.0432,0.32,0.144,0.77,122.012,220051,4,10,
0.326,0.908,9,-2.696,1,0.0738,0.0118,0.367,0.587,182.521,158547,4,1,
0.389,0.975,7,-3.682,1,0.0983,0.000109,0.249,0.38,169.858,217588,4,10,
0.938,0.463,1,-13.124,1,0.479,0.035,0.1,0.46,119.878,1.86035,4,9,
0.268,0.811,1,-4.06,1,0.0409,0.0000761,0.0651,0.295,101.041,239627,3,10,
0.528,0.522,4,-7.407,0,0.11,0.105,0.0997,0.212,83.178,135707,4,5,
0.285,0.434,9,-7.014,1,0.0315,0.283,0.0552,0.0663,135.828,219000,4,10,
0.258,0.978,8,-4.208,1,0.172,0.000519,0.218,0.28,132.862,221470,4,10,
0.763,0.803,1,-3.713,1,0.0351,0.0709,0.348,0.561,103.04,229640,3,6,
0.419,0.965,,-4.063,0,0.0791,0.0000763,0.461,0.339,160.004,186031,4,8,
0.511,0.675,5,-7.031,0,0.0263,0.0988,0.423,0.314,91.943,237662,4,9,
0.275,0.226,9,-13.756,1,0.0368,0.955,0.149,0.163,135.676,142967,4,6,
0.141,0.999,11,-5.335,1,0.14,0.00000385,0.109,0.0342,145.834,421680,4,8,
0.311,0.588,11,-8.227,1,0.0334,0.224,0.0784,0.281,90.002,242017,3,6,
0.339,0.65,7,-10.609,1,0.0312,0.0668,0.365,0.65,172.017,226027,4,10,
0.542,0.915,9,-9.637,1,0.0549,0.319,0.171,0.92,159.81,175400,4,10,
0.669,0.848,8,-10.072,0,0.03,0.0273,0.0881,0.661,102.048,177507,4,1,
0.236,0.582,1,-7.592,0,0.0348,0.0584,0.34,0.265,67.131,241791,4,1,
0.737,0.642,9,-9.492,1,0.0916,0.0185,0.0726,0.467,106.742,174667,4,10,
0.832,0.593,5,-6.014,0,0.0916,0.148,0.276,0.729,111.075,266680,4,9,
0.842,0.941,7,-6.912,1,0.0517,0.136,0.0645,0.716,119.075,191987,4,6,
0.364,0.936,9,-4.281,1,0.146,0.000626,0.427,0.579,180.191,100608,4,9,
0.768,0.69,9,-12.43,1,0.0613,0.0129,0.346,0.102,141.029,295688,4,6,
0.416,0.971,8,-2.759,0,0.499,0.0243,0.318,0.504,174.954,211827,4,10,
0.454,0.886,11,-9.257,0,0.138,0.00000869,0.193,0.195,119.851,296868,4,8,
0.324,0.843,4,-9.096,0,0.068,0.00125,0.36,0.389,190.149,173091,3,8,
0.424,0.944,11,-2.552,0,0.0391,0.00000904,0.357,0.389,158.089,158333,4,1,
0.876,0.615,8,-7.192,0,0.155,0.0434,0.235,0.356,98.034,145659,4,5,
0.661,0.651,7,-3.771,0,0.0499,0.117,0.056,0.368,87.46,202915,4,9,
0.787,0.673,11,-4.577,0,0.158,0.256,0.0904,0.786,110.962,237893,4,9,
0.579,0.402,2,-9.687,1,0.0392,0.777,0.316,0.516,152.067,189628,4,9,
0.427,0.573,8,-13.077,1,0.101,0.382,0.112,0.608,97.076,467427,3,2,
0.679,0.253,2,-13.777,1,0.0412,0.812,0.111,0.653,127.45,155007,4,9,
0.823,0.586,6,-6.606,0,0.2,0.114,0.193,0.347,125.971,190476,4,5,
0.217,0.909,8,-5.08,0,0.138,0.0168,0.345,0.673,185.561,305253,4,2,
0.598,0.618,5,-10.013,1,0.047,0.54,0.951,0.422,103.099,251733,4,5,
0.358,0.423,7,-7.828,1,0.0338,0.565,0.0846,0.309,182.959,226600,3,9,
0.749,0.409,9,-9.263,1,0.0395,0.13,0.152,0.486,122.979,168951,4,9,
0.813,0.57,3,-8.409,0,0.265,0.0909,0.0982,0.676,109.07,169330,4,5,
0.676,0.266,9,-8.847,1,0.184,0.514,0.108,0.707,205.598,3.348,4,0,
0.504,0.821,8,-3.356,1,0.0598,0.275,0.0418,0.458,155.131,201799,4,10,
0.557,0.825,6,-4.657,1,0.0283,0.00525,0.177,0.841,120.017,3.352,4,4,
0.764,0.501,,-10.842,1,0.0378,0.311,0.111,0.427,106.961,174147,4,6,
0.131,0.307,4,-10.997,1,0.0349,0.00185,0.111,0.0264,59.562,282800,4,6,
0.462,0.84,2,-6.667,1,0.0346,0.0000505,0.0893,0.805,75.542,246440,4,10,
0.314,0.592,9,-9.297,1,0.0409,0.00472,0.268,0.282,80.458,243760,4,6,
0.679,0.111,6,-28.013,1,0.0653,0.623,0.353,0.508,90.014,196000,4,1,
